	PingPong			
t	x	vx	ax	
13,500	7,059E-30	1,214E-30	-4,004E-29
13,533	7,076E-30	-2,830E-31	-4,771E-29
13,567	7,040E-30	-1,963E-30	-3,617E-29
13,600	6,945E-30	-2,839E-30	-1,647E-30
13,633	6,851E-30	-2,051E-30	3,643E-29
13,667	6,808E-30	-3,283E-31	5,262E-29
13,700	6,829E-30	1,494E-30	4,046E-29
13,733	6,908E-30	2,468E-30	1,152E-29
13,767	6,993E-30	2,217E-30	-1,936E-29
13,800	7,055E-30	1,162E-30	-3,787E-29
13,833	7,071E-30	-3,432E-31	-4,612E-29
13,867	7,033E-30	-1,930E-30	-3,304E-29
13,900	6,942E-30	-2,663E-30	-4,822E-30
13,933	6,855E-30	-2,186E-30	3,106E-29
13,967	6,796E-30	-6,378E-31	5,344E-29
14,000	6,813E-30	1,493E-30	
14,033	6,896E-30		
